https://github.com/apache/hadoop/commit/71a81b6257c0000475ad62eb69292a20d45d269c,consolidate encryption zone related implementation into a single class,Preventive Change,preventive,,,consolidate into single,,
https://github.com/apache/hadoop/commit/c890c51a916894a985439497b8a44e8eee82d762,avoid sharing allocatorpercontext object in localdirallocator between shufflehandler and localdirshandlerservice,Preventive Change,preventive,mismatch,,In between,avoid,
https://github.com/apache/hadoop/commit/7c5c099324d9168114be2f1233d49fdb65a8c1f2,keep server related definition in hdfsproto on server side,Preventive Change,preventive,,,keep on,,
https://github.com/apache/hadoop/commit/63d9f1596c92206cce3b72e3214d2fb5f6242b90,separate client and server side methods of oahhdfsnamenodeproxies,Preventive Change,preventive,,,separate,,
https://github.com/apache/hadoop/commit/06022b8fdc40e50eaac63758246353058e8cfa6d,move hdfs-client protobuf convert methods from pbhelper to pbhelperclient,Preventive Change,preventive,,,move from,,
https://github.com/apache/hadoop/commit/083b44c136ea5aba660fcd1dddbb2d21513b4456,class could use a builder pattern (chris trezzo via mingma),Perfective Change,preventive,mismatch,,builder pattern,use,
https://github.com/apache/hadoop/commit/76957a485b526468498f93e443544131a88b5684,replace namenodedefault_port with hdfsclientconfigkeysdfs_namenode_rpc_port_default config key,Preventive Change,preventive,,,replace with,,
https://github.com/apache/hadoop/commit/715b9c649982bff91d1f9eae656ba3b82178e1a3,move replication queues related methods in fsnamesystem to blockmanager,preventive Change ,preventive,,,move to,,
https://github.com/apache/hadoop/commit/d16c4eee186492608ffeb1c2e83f437000cc64f6,move oahhdfsprotocoldatatransferpipelineack class to hadoop-hdfs-client module,Preventive Change,preventive,,,move to,,
https://github.com/apache/hadoop/commit/095ab9ab5fa5f415fba41fee81b6008cf0455af8,removed unused applicationaclsmanager in containermanagerimpl constructor (naganarasimha g r via rohithsharmaks),Preventive Change,preventive,,,removed unused,,
https://github.com/apache/hadoop/commit/6d12cd8d609dec26d44cece9937c35b7d72a3cd1,extract blocktomarkcorrupt and replicationwork as standalone classes from blockmanager,Perfective Change,preventive,mismatch,,extract from,,
https://github.com/apache/hadoop/commit/4e9307f26dd41270f95fb50166e1a091852e4d58,extract blocktomarkcorrupt and replicationwork as standalone classes from blockmanager,Perfective Change,preventive,mismatch,,,,
https://github.com/apache/hadoop/commit/80a2a1242337648135cab0c877203263d1092248,remove the deprecated fsconstants class,preventive Change,preventive,,,remove deprecated,,
https://github.com/apache/hadoop/commit/7fc50e2525b8b8fe36d92e283a68eeeb09c63d21,move dfsclientwrite* conf from dfsconfigkeys to hdfsclientconfigkeyswrite,preventive Change,preventive,,,move from,,
https://github.com/apache/hadoop/commit/36e4cd3be6f7fec8db82d3d1bcb258af470ece2e,move blocktokensecretmanageraccessmode into blocktokenidentifier,preventive Change,preventive,,,move into,,
