wrapper,0.0,1.0,0.0,0.0
drop,0.0,1.0,0.0,0.0
wrap,0.0,1.0,0.0,0.0
freshen,0.0,1.0,0.0,0.0
fold,0.0,1.0,0.0,0.0
back,0.0,0.25,0.0,0.75
revisit,0.0,1.0,0.0,0.0
structur,0.0,1.0,0.0,0.0
unneed,0.0,1.0,0.0,0.0
switch,0.0,0.5,0.0,0.5
delet,0.0,0.5,0.5,0.0
rewrit,0.0,1.0,0.0,0.0
rebas,0.0,1.0,0.0,0.0
old,0.0,1.0,0.0,0.0
warn,0.0,0.0,1.0,0.0
integr,0.0,0.0,0.05,0.95
thread,0.0,0.0,1.0,0.0
leak,0.0,0.0,1.0,0.0
invalid,0.0,0.0,1.0,0.0
inconsist,0.0,0.0,1.0,0.0
unabl,0.0,0.0,1.0,0.0
doe,0.0,0.0,1.0,0.0
go,0.0,0.0,1.0,0.0
down,0.0,0.0,1.0,0.0
outdat,0.0,0.0,1.0,0.0
erro,0.0,0.0,1.0,0.0
incorrect,0.0,0.0,1.0,0.0
illeg,0.0,0.0,1.0,0.0
fail,0.0,0.0,1.0,0.0
releas,0.0,0.0,1.0,0.0
lock,0.0,0.0,1.0,0.0
erron,0.0,0.0,1.0,0.0
cannot,0.0,0.0,1.0,0.0
broken,0.0,0.0,1.0,0.0
deadlock,0.0,0.0,1.0,0.0
due,0.0,0.0,1.0,0.0
connect,0.0,0.0,1.0,0.0
occasionali,0.0,0.0,1.0,0.0
lack,0.0,0.0,1.0,0.0
doesn't,0.0,0.0,1.0,0.0
might,0.0,0.0,1.0,0.0
caus,0.0,0.0,1.0,0.0
bug,0.0,0.0,1.0,0.0
problem,0.0,0.0,1.0,0.0
fixup,0.0,0.0,1.0,0.0
lazi,0.0,0.0,1.0,0.0
failur,0.0,0.0,1.0,0.0
correctli,0.0,0.0,1.0,0.0
found,0.0,0.0,1.0,0.0
except,0.0,0.0,1.0,0.0
popul,0.0,0.0,1.0,0.0
incorrectli,0.0,0.0,1.0,0.0
shouldn’t,0.0,0.0,1.0,0.0
throw,0.0,0.0,1.0,0.0
inabl,0.0,0.0,1.0,0.0
avoid,0.0,0.0,1.0,0.0
race,0.0,0.0,1.0,0.0
condit,0.0,0.0,1.0,0.0
bound,0.0,0.0,1.0,0.0
return,0.0,0.0,1.0,0.0
rais,0.0,0.0,1.0,0.0
no,0.0,0.0,1.0,0.0
tag,0.0,0.0,1.0,0.0
result,0.0,0.0,1.0,0.0
entri,0.0,0.0,1.0,0.0
throttl,0.0,0.0,1.0,0.0
possibl,0.0,0.0,1.0,0.0
fallout,0.0,0.0,1.0,0.0
npe,0.0,0.0,1.0,0.0
errorpron,0.0,0.0,1.0,0.0
troubl,0.0,0.0,1.0,0.0
aaa,0.0,0.0,0.0,1.0
version,0.0,0.0,0.0,1.0
protocol,0.0,0.0,0.0,1.0
bbb,0.0,0.0,0.0,1.0
api,0.0,0.0,0.0,1.0
framework,0.0,0.0,0.0,1.0
incorpor,0.0,0.0,0.0,1.0
fall,0.0,0.0,0.0,1.0
plug,0.0,0.0,0.0,1.0
act,0.0,0.0,0.0,1.0
mode,0.0,0.0,0.0,1.0
plugin,0.0,0.0,0.0,1.0
librray,0.0,0.0,0.0,1.0
backport,0.0,0.0,0.0,1.0
sdk,0.0,0.0,0.0,1.0
compat,0.0,0.0,0.0,1.0
recent,0.0,0.0,0.0,1.0
adjust,0.0,0.0,0.0,1.0
attribut,0.0,0.0,0.0,1.0
adapt,0.0,0.0,0.0,1.0
feasibl,0.0,0.0,0.0,1.0
extens,0.0,0.0,0.0,1.0
